date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:02	45607/45607	---M-Z	200	added ('OK')	text/html	etag:%22c44b23-b227-589a0876fb920-gzip%22	https://portotheme.com/html/porto/7.5.0/demo-resume.html	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/demo-resume.html	(from )
15:01:04	31/31	---M--	200	added ('OK')	text/plain	etag:%22c00f52-1f-4f596e30ca980%22	https://portotheme.com/robots.txt		(from )
15:01:13	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22c45118-47e-589a09078cd90%22	https://portotheme.com/html/porto/7.5.0/img/favicon.ico	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/favicon.ico	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:14	6268/6268	---M--	200	added ('OK')	image/png	etag:%22c45104-187c-589a08fe7fb58%22	https://portotheme.com/html/porto/7.5.0/img/apple-touch-icon.png	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/apple-touch-icon.png	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:15	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%22ca1769-2606e-589a0b4ec1a10-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/bootstrap/css/bootstrap.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/bootstrap/css/bootstrap.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:17	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22c61b1c-e283-589a0a29990b8-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/animate/animate.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/animate/animate.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:17	10943/10943	---M-Z	200	added ('OK')	text/css	etag:%22ce0f45-2abf-589a0ba65f8f8-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/simple-line-icons/css/simple-line-icons.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/simple-line-icons/css/simple-line-icons.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:18	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22ce0f06-d17-589a0b9262dc8-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/owl.carousel/assets/owl.carousel.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:18	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%22ce0f09-3f5-589a0b92625f8-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/owl.carousel/assets/owl.theme.default.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/owl.carousel/assets/owl.theme.default.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:18	5235/5235	---M-Z	200	added ('OK')	text/css	etag:%22c81259-1473-589a0a4029a80-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/magnific-popup/magnific-popup.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/magnific-popup/magnific-popup.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:19	200654/200654	---M-Z	200	added ('OK')	text/css	etag:%22c45100-30fce-589a0900b0be8-gzip%22	https://portotheme.com/html/porto/7.5.0/css/theme.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/theme.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:19	55111/55111	---M-Z	200	added ('OK')	text/css	etag:%22ce007b-d747-589a0b68f42c0-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/fontawesome-free/css/all.min.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/fontawesome-free/css/all.min.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:19	5779/5779	---M-Z	200	added ('OK')	text/css	etag:%22c450fa-1693-589a08fb287c0-gzip%22	https://portotheme.com/html/porto/7.5.0/css/theme-blog.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/theme-blog.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:20	12638/12638	---M-Z	200	added ('OK')	text/css	etag:%22c450ff-315e-589a08fcd62c0-gzip%22	https://portotheme.com/html/porto/7.5.0/css/theme-shop.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/theme-shop.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:20	300230/300230	---M-Z	200	added ('OK')	text/css	etag:%22c450fd-494c6-589a08fe4a3e0-gzip%22	https://portotheme.com/html/porto/7.5.0/css/theme-elements.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/theme-elements.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:21	30060/30060	---M-Z	200	added ('OK')	text/css	etag:%22ce0f38-756c-589a0ba0e7e70-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/rs-plugin/css/settings.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/rs-plugin/css/settings.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:21	140793/140793	---M-Z	200	added ('OK')	text/css	etag:%22ce0f33-225f9-589a0ba0932f8-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/rs-plugin/css/layers.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/rs-plugin/css/layers.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:22	59576/59576	---M-Z	200	added ('OK')	text/css	etag:%22ce0f30-e8b8-589a0ba007c80-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/rs-plugin/css/navigation.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/rs-plugin/css/navigation.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:22	23725/23725	---M-Z	200	added ('OK')	text/css	etag:%22c4516d-5cad-589a092fab5b0-gzip%22	https://portotheme.com/html/porto/7.5.0/css/demos/demo-resume.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/demos/demo-resume.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:22	914/914	---M-Z	200	added ('OK')	application/javascript	etag:%22c61afe-392-589a0a2055f38-gzip%22	https://portotheme.com/html/porto/7.5.0/master/style-switcher/style.switcher.localstorage.js	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/master/style-switcher/style.switcher.localstorage.js	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:22	161441/161441	---M-Z	200	added ('OK')	text/css	etag:%22c451c0-276a1-589a09718d910-gzip%22	https://portotheme.com/html/porto/7.5.0/css/skins/skin-resume.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/skins/skin-resume.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:23	43/43	---M--	200	added ('OK')	text/css	etag:%22c450fe-2b-589a08fb402a8%22	https://portotheme.com/html/porto/7.5.0/css/custom.css	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/css/custom.css	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:23	9397/9397	---M-Z	200	added ('OK')	application/javascript	etag:%22c8125d-24b5-589a0a412a7e0-gzip%22	https://portotheme.com/html/porto/7.5.0/vendor/modernizr/modernizr.min.js	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/vendor/modernizr/modernizr.min.js	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:24	49/49	---M--	200	added ('OK')	image/gif	etag:%22c4510f-31-589a09039bd08%22	https://portotheme.com/html/porto/7.5.0/img/blank.gif	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/blank.gif	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:25	104136/104136	---M--	200	added ('OK')	image/jpeg	etag:%22ce1234-196c8-589a0cab451c8%22	https://portotheme.com/html/porto/7.5.0/img/demos/resume/about-me/me.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/resume/about-me/me.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:26	38172/38172	---M--	200	added ('OK')	image/jpeg	etag:%22ce1239-951c-589a0cad48fb0%22	https://portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-1.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-1.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:27	51349/51349	---M--	200	added ('OK')	image/png	etag:%22ce1235-c895-589a0cab34828%22	https://portotheme.com/html/porto/7.5.0/img/demos/resume/about-me/mouse.png	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/resume/about-me/mouse.png	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:27	42797/42797	---M--	200	added ('OK')	image/jpeg	etag:%22ce123e-a72d-589a0cad6d5b8%22	https://portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:27	51630/51630	---M--	200	added ('OK')	image/jpeg	etag:%22ce1240-c9ae-589a0cae50e58%22	https://portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
15:01:28	40650/40650	---M--	200	added ('OK')	image/jpeg	etag:%22ce123a-9eca-589a0cad49f50%22	https://portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-5.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/resume/portfolio/portfolio-5.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-resume.html)
